States,Transcation_amount
Andaman & Nicobar,961836.7129860274
Andhra Pradesh,256074924.7187529
Arunachal Pradesh,4030599.9171272423
Assam,28452966.026372254
Bihar,81355476.16367023
Chandigarh,5254415.457263877
Chhattisgarh,39141096.45070238
Dadra and Nagar Haveli and Daman and Diu,1778864.0123306382
Delhi,114341865.2645722
Goa,6418950.466847964
Gujarat,84723188.62104335
Haryana,80854296.9304013
Himachal Pradesh,11391079.288736572
Jammu & Kashmir,13281733.802213533
Jharkhand,63233533.18627854
Karnataka,358426105.9585576
Kerala,76828720.82445312
Ladakh,2334917.7832646337
Lakshadweep,45457.50970027798
Madhya Pradesh,122971108.07060198
Maharashtra,333669599.61883616
Manipur,1593035.944066228
Meghalaya,4049966.8133478058
Mizoram,824864.513127287
Nagaland,2136903.0242114514
Odisha,84971747.75755268
Puducherry,4788490.3633705
Punjab,42060249.32847581
Rajasthan,113675141.51464571
Sikkim,1795366.733436462
Tamil Nadu,158512062.54590106
Telangana,223377023.50525153
Tripura,3141391.5755430083
Uttar Pradesh,194129227.54374278
Uttarakhand,26449980.584111303
West Bengal,125973420.85650632
